random_sampler_compression,space_based_compression,voxel_based_compression,percentage_of_minor_classes_retained
0.59,0.325,0.425,0.49
0.69,0.225,0.325,0.49
0.5,0.625,0.525,0.53
0.64,0.725,0.225,0.53
0.59,0.125,0.125,0.36
0.53,0.625,0.625,0.58
0.63,0.125,0.725,0.56
0.45,0.825,0.525,0.55
0.4,0.625,0.825,0.57
0.55,0.325,0.525,0.5
0.76,0.625,0.625,0.69
0.45,0.625,0.325,0.45
0.44,0.425,0.325,0.4
0.4,0.725,0.925,0.62
0.43,0.525,0.825,0.57
0.67,0.325,0.325,0.5
0.66,0.725,0.125,0.51
0.76,0.525,0.825,0.73
0.63,0.325,0.125,0.42
0.62,0.725,0.825,0.7
0.45,0.725,0.225,0.44
0.45,0.525,0.625,0.52
0.67,0.825,0.125,0.54
0.79,0.525,0.225,0.57
0.35,0.125,0.825,0.45
0.77,0.525,0.325,0.59
0.67,0.325,0.625,0.59
0.6,0.725,0.825,0.69
0.66,0.825,0.825,0.74
0.59,0.525,0.425,0.53
0.61,0.325,0.825,0.62
0.46,0.925,0.625,0.6
0.74,0.425,0.925,0.73
0.6,0.525,0.925,0.68
0.4,0.625,0.525,0.48
0.45,0.425,0.425,0.44
0.68,0.525,0.725,0.66
0.58,0.525,0.425,0.52
0.31,0.825,0.625,0.51
0.33,0.525,0.125,0.31
0.64,0.125,0.125,0.38
0.54,0.925,0.625,0.64
0.71,0.625,0.425,0.61
0.59,0.925,0.725,0.7
0.35,0.925,0.125,0.4
0.65,0.225,0.325,0.47
0.75,0.225,0.125,0.46
0.72,0.425,0.625,0.63
0.76,0.625,0.825,0.75
0.66,0.425,0.925,0.69
0.65,0.425,0.725,0.63
0.52,0.525,0.725,0.58
0.58,0.425,0.925,0.65
0.33,0.625,0.425,0.42
0.72,0.725,0.825,0.75
0.6,0.225,0.725,0.56
0.32,0.725,0.725,0.52
0.75,0.525,0.225,0.55
0.54,0.925,0.225,0.52
0.33,0.425,0.225,0.32
0.71,0.225,0.825,0.65
0.6,0.625,0.925,0.7
0.68,0.125,0.425,0.49
0.52,0.625,0.425,0.51
0.49,0.325,0.125,0.35
0.41,0.225,0.625,0.44
0.35,0.125,0.125,0.24
0.51,0.425,0.725,0.56
0.73,0.525,0.225,0.54
0.46,0.425,0.625,0.5
0.52,0.525,0.925,0.64
0.74,0.225,0.625,0.6
0.57,0.325,0.425,0.48
0.32,0.325,0.325,0.32
0.55,0.625,0.425,0.53
0.43,0.825,0.625,0.57
0.78,0.825,0.625,0.74
0.33,0.125,0.925,0.47
0.45,0.925,0.125,0.45
0.58,0.325,0.825,0.6
0.73,0.125,0.225,0.46
0.49,0.925,0.625,0.62
0.8,0.925,0.225,0.65
0.65,0.225,0.925,0.65
0.61,0.925,0.725,0.71
0.71,0.825,0.325,0.62
0.65,0.625,0.225,0.52
0.55,0.725,0.725,0.64
0.49,0.825,0.325,0.51
0.48,0.125,0.825,0.51
0.79,0.525,0.925,0.78
0.43,0.525,0.725,0.54
0.62,0.825,0.525,0.63
0.49,0.525,0.325,0.45
0.71,0.925,0.825,0.79
0.63,0.525,0.125,0.46
0.77,0.125,0.425,0.54
0.33,0.625,0.925,0.57
0.33,0.425,0.225,0.32
0.71,0.525,0.225,0.53
0.57,0.225,0.525,0.49
0.59,0.325,0.425,0.49
0.62,0.625,0.325,0.53
0.65,0.925,0.525,0.67
0.44,0.225,0.325,0.36
0.51,0.225,0.925,0.58
0.7,0.825,0.125,0.55
0.64,0.625,0.425,0.57
0.45,0.125,0.425,0.38
0.51,0.925,0.425,0.57
0.7,0.325,0.925,0.69
0.71,0.825,0.725,0.74
0.73,0.425,0.325,0.55
0.51,0.725,0.625,0.59
0.48,0.925,0.125,0.46
0.63,0.825,0.625,0.67
0.62,0.225,0.825,0.6
0.45,0.425,0.825,0.56
0.48,0.825,0.725,0.62
0.55,0.525,0.825,0.63
0.79,0.425,0.325,0.58
0.72,0.225,0.425,0.53
0.44,0.625,0.525,0.5
0.37,0.525,0.625,0.48
0.36,0.725,0.125,0.36
0.78,0.925,0.425,0.7
0.78,0.325,0.425,0.58
0.49,0.425,0.125,0.37
0.34,0.725,0.925,0.59
0.73,0.425,0.125,0.49
0.7,0.725,0.425,0.62
0.69,0.225,0.925,0.67
0.57,0.225,0.825,0.58
0.37,0.625,0.825,0.56
0.45,0.625,0.725,0.57
0.37,0.125,0.825,0.46
0.59,0.525,0.525,0.56
0.67,0.325,0.125,0.44
0.37,0.225,0.225,0.3
0.51,0.125,0.625,0.47
0.71,0.325,0.125,0.46
0.45,0.425,0.525,0.47
0.79,0.925,0.425,0.71
0.72,0.425,0.625,0.63
0.31,0.425,0.125,0.28
0.34,0.325,0.425,0.36
0.5,0.325,0.225,0.38
0.36,0.525,0.925,0.56
0.33,0.925,0.425,0.48
0.34,0.625,0.225,0.36
0.79,0.925,0.225,0.65
0.64,0.625,0.625,0.63
0.43,0.225,0.625,0.45
0.54,0.225,0.425,0.44
0.5,0.225,0.825,0.54
0.38,0.625,0.125,0.35
0.38,0.325,0.425,0.38
0.75,0.125,0.725,0.62
0.69,0.625,0.925,0.75
0.54,0.325,0.625,0.52
0.75,0.525,0.825,0.73
0.64,0.225,0.425,0.49
0.34,0.725,0.925,0.59
0.72,0.725,0.125,0.54
0.5,0.125,0.125,0.31
0.64,0.125,0.925,0.62
0.6,0.425,0.625,0.57
0.37,0.725,0.925,0.61
0.63,0.725,0.625,0.65
0.68,0.525,0.725,0.66
0.67,0.325,0.525,0.56
0.52,0.525,0.325,0.46
0.41,0.325,0.925,0.55
0.42,0.725,0.925,0.63
0.37,0.325,0.625,0.44
0.76,0.125,0.325,0.5
0.35,0.425,0.925,0.54
0.55,0.925,0.625,0.65
0.57,0.225,0.925,0.61
0.46,0.125,0.125,0.29
0.65,0.125,0.125,0.39
0.31,0.225,0.125,0.24
0.44,0.625,0.325,0.44
0.74,0.125,0.725,0.61
0.63,0.425,0.625,0.59
0.54,0.325,0.225,0.4
0.55,0.825,0.325,0.54
0.61,0.425,0.625,0.58
0.77,0.225,0.225,0.5
0.78,0.225,0.625,0.62
0.37,0.525,0.825,0.54
0.52,0.925,0.825,0.69
0.48,0.925,0.825,0.67
0.51,0.725,0.425,0.53
0.53,0.725,0.725,0.63
0.41,0.425,0.525,0.45
0.32,0.325,0.125,0.26
0.69,0.625,0.825,0.72
0.47,0.725,0.325,0.48
0.33,0.225,0.125,0.25
0.6,0.325,0.525,0.52
0.72,0.425,0.225,0.51
0.63,0.625,0.825,0.69
0.55,0.925,0.825,0.71
0.36,0.425,0.425,0.39
0.49,0.625,0.125,0.41
0.61,0.725,0.325,0.55
0.47,0.725,0.625,0.57
0.62,0.125,0.925,0.61
0.4,0.425,0.925,0.56
0.36,0.425,0.525,0.42
0.73,0.125,0.625,0.58
0.52,0.425,0.725,0.56
0.57,0.225,0.725,0.55
0.54,0.525,0.825,0.62
0.56,0.125,0.525,0.46
0.75,0.125,0.325,0.5
0.52,0.225,0.225,0.37
0.68,0.125,0.525,0.52
0.58,0.125,0.625,0.5
0.59,0.425,0.825,0.63
0.69,0.525,0.225,0.52
0.52,0.225,0.625,0.49
0.6,0.425,0.725,0.6
0.31,0.925,0.525,0.5
0.67,0.825,0.825,0.75
0.68,0.925,0.725,0.74
0.36,0.625,0.625,0.49
0.35,0.225,0.525,0.38
0.5,0.725,0.625,0.58
0.52,0.125,0.425,0.41
0.73,0.625,0.225,0.56
0.73,0.325,0.325,0.53
0.77,0.525,0.425,0.62
0.48,0.625,0.725,0.58
0.31,0.325,0.925,0.5
0.65,0.225,0.425,0.5
0.37,0.325,0.525,0.41
0.71,0.725,0.525,0.66
0.7,0.425,0.925,0.71
0.79,0.925,0.725,0.8
0.57,0.425,0.425,0.5
0.66,0.125,0.225,0.42
0.55,0.925,0.825,0.71
0.55,0.125,0.625,0.49
0.57,0.325,0.725,0.57
0.42,0.225,0.625,0.44
0.46,0.325,0.425,0.42
0.46,0.525,0.125,0.37
0.31,0.925,0.625,0.53
0.49,0.525,0.125,0.39
0.37,0.725,0.325,0.43
0.48,0.825,0.725,0.62
0.69,0.425,0.525,0.59
0.71,0.925,0.425,0.67
0.43,0.825,0.425,0.51
0.65,0.225,0.925,0.65
0.57,0.925,0.225,0.54
0.76,0.625,0.925,0.78
0.53,0.225,0.325,0.41
0.74,0.425,0.325,0.55
0.36,0.225,0.525,0.38
0.62,0.825,0.325,0.57
0.46,0.225,0.925,0.55
0.37,0.725,0.925,0.61
0.58,0.225,0.525,0.49
0.48,0.925,0.625,0.61
0.55,0.925,0.725,0.68
0.55,0.425,0.425,0.49
0.39,0.525,0.325,0.4
0.4,0.125,0.625,0.41
0.53,0.625,0.125,0.43
0.32,0.825,0.725,0.54
0.44,0.325,0.425,0.41
0.43,0.625,0.525,0.5
0.36,0.625,0.925,0.58
0.72,0.225,0.825,0.65
0.45,0.325,0.425,0.42
0.41,0.825,0.825,0.62
0.34,0.125,0.425,0.32
0.39,0.925,0.725,0.6
0.38,0.725,0.525,0.49
0.42,0.125,0.925,0.51
0.75,0.325,0.825,0.69
0.64,0.425,0.925,0.68
0.56,0.425,0.525,0.52
0.71,0.425,0.525,0.6
0.36,0.325,0.425,0.37
0.64,0.925,0.125,0.54
0.47,0.825,0.125,0.44
0.31,0.625,0.325,0.38
0.43,0.825,0.825,0.63
0.58,0.225,0.125,0.37
0.65,0.825,0.725,0.71
0.34,0.425,0.625,0.44
0.51,0.125,0.525,0.44
0.51,0.125,0.725,0.5
0.42,0.725,0.725,0.57
0.8,0.225,0.925,0.72
0.47,0.725,0.925,0.66
0.68,0.625,0.825,0.71
0.74,0.325,0.125,0.47
0.69,0.725,0.725,0.71
0.77,0.125,0.625,0.6
0.78,0.725,0.225,0.6
0.54,0.625,0.825,0.64
0.72,0.725,0.625,0.69
0.57,0.925,0.825,0.72
0.3,0.725,0.825,0.54
0.54,0.525,0.525,0.53
0.46,0.225,0.225,0.34
0.43,0.825,0.525,0.54
0.35,0.925,0.525,0.52
0.67,0.325,0.725,0.62
0.68,0.525,0.825,0.69
0.79,0.625,0.225,0.59
0.73,0.125,0.925,0.67
0.58,0.625,0.225,0.48
0.33,0.225,0.625,0.4
0.65,0.325,0.725,0.61
0.78,0.525,0.825,0.74
0.45,0.225,0.325,0.37
0.39,0.225,0.925,0.52
0.47,0.825,0.725,0.62
0.33,0.725,0.325,0.41
0.68,0.125,0.825,0.61
0.51,0.825,0.625,0.61
0.33,0.125,0.825,0.44
0.79,0.825,0.725,0.78
0.42,0.225,0.425,0.38
0.67,0.625,0.825,0.71
0.5,0.625,0.725,0.59
0.37,0.725,0.825,0.58
0.4,0.325,0.525,0.42
0.73,0.225,0.225,0.48
0.46,0.125,0.325,0.35
0.74,0.325,0.725,0.65
0.64,0.225,0.125,0.4
0.71,0.725,0.125,0.54
0.78,0.925,0.425,0.7
0.65,0.225,0.725,0.59
0.37,0.225,0.325,0.33
0.4,0.325,0.225,0.33
0.43,0.525,0.125,0.36
0.54,0.825,0.225,0.5
0.73,0.125,0.925,0.67
0.77,0.425,0.325,0.57
0.34,0.325,0.825,0.48
0.33,0.625,0.925,0.57
0.55,0.125,0.125,0.34
0.5,0.925,0.325,0.53
0.44,0.425,0.225,0.37
0.38,0.625,0.725,0.53
0.47,0.525,0.725,0.56
0.46,0.925,0.325,0.51
0.5,0.725,0.525,0.55
0.45,0.425,0.425,0.44
0.71,0.225,0.325,0.5
0.76,0.825,0.225,0.61
0.4,0.325,0.925,0.54
0.52,0.625,0.425,0.51
0.51,0.925,0.725,0.66
0.32,0.225,0.625,0.39
0.7,0.525,0.525,0.61
0.55,0.325,0.725,0.56
0.79,0.825,0.325,0.66
0.53,0.525,0.425,0.5
0.51,0.225,0.625,0.49
0.32,0.425,0.125,0.28
0.73,0.625,0.925,0.77
0.76,0.125,0.625,0.59
0.36,0.825,0.425,0.47
0.76,0.225,0.625,0.61
0.59,0.925,0.225,0.55
0.55,0.125,0.225,0.37
0.52,0.225,0.425,0.43
0.68,0.825,0.125,0.54
0.4,0.525,0.525,0.46
0.48,0.925,0.525,0.58
0.79,0.325,0.725,0.68
0.35,0.725,0.825,0.57
0.62,0.225,0.125,0.39
0.57,0.425,0.625,0.56
0.71,0.825,0.225,0.59
0.37,0.525,0.325,0.39
0.33,0.725,0.925,0.59
0.47,0.925,0.625,0.61
0.61,0.325,0.325,0.47
0.33,0.525,0.625,0.46
0.43,0.825,0.825,0.63
0.38,0.625,0.625,0.5
0.74,0.225,0.325,0.51
0.77,0.425,0.825,0.72
0.38,0.125,0.525,0.37
0.74,0.425,0.625,0.64
0.43,0.225,0.725,0.48
0.31,0.725,0.325,0.4
0.55,0.125,0.325,0.4
0.34,0.925,0.325,0.45
0.62,0.925,0.125,0.53
0.55,0.425,0.425,0.49
0.43,0.225,0.725,0.48
0.53,0.125,0.325,0.39
0.8,0.525,0.225,0.57
0.51,0.425,0.925,0.62
0.36,0.625,0.125,0.34
0.49,0.825,0.325,0.51
0.61,0.825,0.425,0.6
0.49,0.325,0.325,0.41
0.38,0.425,0.725,0.49
0.41,0.325,0.225,0.34
0.43,0.325,0.825,0.53
0.53,0.525,0.625,0.56
0.42,0.525,0.225,0.38
0.48,0.725,0.825,0.63
0.4,0.125,0.225,0.29
0.43,0.525,0.825,0.57
0.47,0.625,0.225,0.43
0.47,0.125,0.625,0.45
0.62,0.225,0.725,0.57
0.46,0.225,0.125,0.31
0.31,0.525,0.325,0.36
0.65,0.725,0.625,0.66
0.6,0.425,0.625,0.57
0.38,0.325,0.625,0.44
0.57,0.725,0.225,0.5
0.67,0.525,0.425,0.57
0.34,0.925,0.625,0.54
0.67,0.425,0.625,0.61
0.41,0.725,0.425,0.48
0.47,0.325,0.625,0.49
0.71,0.225,0.525,0.56
0.39,0.925,0.625,0.57
0.7,0.225,0.925,0.67
0.54,0.225,0.625,0.5
0.43,0.725,0.225,0.43
0.45,0.425,0.325,0.41
0.43,0.525,0.125,0.36
0.39,0.225,0.325,0.34
0.43,0.425,0.325,0.4
0.74,0.425,0.225,0.52
0.54,0.825,0.725,0.65
0.48,0.525,0.625,0.53
0.49,0.625,0.225,0.44
0.65,0.725,0.425,0.6
0.71,0.825,0.225,0.59
0.71,0.225,0.225,0.47
0.59,0.525,0.925,0.68
0.66,0.725,0.625,0.66
0.66,0.825,0.625,0.68
0.67,0.925,0.425,0.65
0.61,0.925,0.425,0.62
0.51,0.225,0.625,0.49
0.64,0.525,0.725,0.64
0.42,0.725,0.825,0.6
0.3,0.225,0.725,0.41
0.52,0.825,0.325,0.52
0.32,0.925,0.325,0.44
0.68,0.825,0.125,0.54
0.45,0.325,0.125,0.33
0.56,0.925,0.625,0.65
0.5,0.825,0.925,0.69
0.38,0.525,0.225,0.36
0.62,0.825,0.425,0.6
0.68,0.625,0.125,0.5
0.55,0.725,0.625,0.61
0.57,0.725,0.425,0.56
0.5,0.425,0.325,0.43
0.74,0.425,0.325,0.55
0.61,0.925,0.225,0.56
0.67,0.225,0.825,0.63
0.37,0.325,0.725,0.47
0.64,0.225,0.525,0.52
0.79,0.825,0.125,0.6
0.52,0.425,0.625,0.53
0.52,0.325,0.925,0.6
0.57,0.625,0.525,0.57
0.42,0.725,0.125,0.39
0.48,0.425,0.125,0.36
0.53,0.325,0.225,0.4
0.47,0.225,0.825,0.53
0.69,0.825,0.225,0.58
0.53,0.725,0.425,0.54
0.6,0.725,0.825,0.69
0.44,0.825,0.125,0.42
0.58,0.725,0.125,0.47
0.58,0.225,0.825,0.58
0.66,0.125,0.325,0.45
0.71,0.325,0.425,0.55
0.45,0.225,0.825,0.52
0.75,0.325,0.125,0.48
0.69,0.825,0.225,0.58
0.47,0.425,0.825,0.57
0.71,0.625,0.625,0.67
0.49,0.825,0.125,0.45
0.39,0.625,0.425,0.45
0.61,0.125,0.425,0.46
0.72,0.825,0.125,0.56
0.45,0.625,0.925,0.63
0.8,0.725,0.625,0.73
0.36,0.225,0.325,0.32
0.6,0.225,0.925,0.62
0.72,0.125,0.125,0.42
0.44,0.225,0.225,0.33
0.46,0.625,0.925,0.63
0.75,0.525,0.125,0.52
0.54,0.925,0.425,0.58
0.52,0.225,0.525,0.46
0.4,0.925,0.625,0.57
0.65,0.725,0.725,0.69
0.36,0.325,0.625,0.43
0.78,0.525,0.625,0.68
0.75,0.825,0.425,0.67
0.61,0.625,0.825,0.68
0.36,0.425,0.125,0.3
0.37,0.325,0.825,0.5
0.56,0.325,0.325,0.44
0.73,0.525,0.825,0.72
0.48,0.725,0.225,0.45
0.35,0.425,0.525,0.42
0.61,0.825,0.725,0.69
0.63,0.925,0.225,0.57
0.67,0.225,0.125,0.42
0.41,0.525,0.925,0.59
0.55,0.225,0.625,0.51
0.51,0.225,0.225,0.37
0.35,0.425,0.125,0.3
0.6,0.725,0.825,0.69
0.74,0.125,0.225,0.46
0.71,0.325,0.825,0.67
0.54,0.225,0.125,0.35
0.44,0.225,0.725,0.48
0.8,0.525,0.325,0.6
0.8,0.425,0.525,0.64
0.57,0.325,0.125,0.39
0.36,0.525,0.325,0.38
0.5,0.225,0.525,0.45
0.45,0.325,0.925,0.57
0.51,0.625,0.125,0.42
0.58,0.925,0.125,0.51
0.32,0.325,0.625,0.41
0.5,0.825,0.425,0.54
0.55,0.125,0.525,0.46
0.49,0.225,0.225,0.36
0.76,0.225,0.125,0.46
0.58,0.625,0.425,0.54
0.62,0.625,0.425,0.56
0.61,0.625,0.325,0.53
0.77,0.325,0.725,0.67
0.35,0.225,0.625,0.41
0.51,0.225,0.125,0.34
0.41,0.525,0.825,0.56
0.79,0.925,0.725,0.8
0.71,0.225,0.825,0.65
0.46,0.525,0.425,0.46
0.75,0.225,0.825,0.67
0.74,0.325,0.325,0.53
0.75,0.625,0.125,0.54
0.43,0.925,0.925,0.68
0.69,0.625,0.925,0.75
0.55,0.325,0.725,0.56
0.77,0.325,0.925,0.73
0.53,0.325,0.925,0.61
0.52,0.925,0.925,0.72
0.66,0.125,0.325,0.45
0.48,0.425,0.325,0.42
0.62,0.425,0.825,0.64
0.75,0.425,0.825,0.71
0.48,0.125,0.825,0.51
0.4,0.325,0.725,0.48
0.4,0.825,0.925,0.64
0.49,0.725,0.925,0.67
0.38,0.625,0.625,0.5
0.64,0.725,0.425,0.59
0.72,0.625,0.225,0.55
0.68,0.625,0.125,0.5
0.69,0.625,0.425,0.6
0.68,0.625,0.425,0.59
0.59,0.725,0.725,0.66
0.37,0.225,0.325,0.33
0.51,0.725,0.525,0.56
0.67,0.925,0.125,0.56
0.38,0.925,0.425,0.5
0.75,0.625,0.125,0.54
0.42,0.125,0.525,0.39
0.35,0.425,0.125,0.3
0.62,0.925,0.625,0.68
0.54,0.725,0.625,0.6
0.71,0.925,0.125,0.58
0.62,0.825,0.525,0.63
0.44,0.325,0.725,0.5
0.31,0.525,0.425,0.39
0.32,0.425,0.925,0.52
0.44,0.525,0.125,0.36
0.5,0.125,0.825,0.52
0.54,0.425,0.725,0.57
0.33,0.925,0.825,0.6
0.5,0.725,0.125,0.43
0.5,0.525,0.825,0.6
0.48,0.625,0.725,0.58
0.77,0.925,0.525,0.73
0.43,0.425,0.525,0.46
0.31,0.825,0.225,0.39
0.51,0.625,0.925,0.66
0.44,0.325,0.425,0.41
0.35,0.125,0.425,0.33
0.53,0.325,0.425,0.46
0.63,0.425,0.125,0.44
0.58,0.925,0.625,0.66
0.38,0.225,0.525,0.39
0.33,0.225,0.125,0.25
0.39,0.725,0.125,0.38
0.48,0.725,0.225,0.45
0.77,0.325,0.725,0.67
0.54,0.825,0.125,0.47
0.36,0.525,0.125,0.32
0.42,0.325,0.625,0.46
0.68,0.725,0.325,0.58
0.57,0.525,0.325,0.49
0.46,0.125,0.425,0.38
0.5,0.425,0.925,0.61
0.76,0.825,0.225,0.61
0.78,0.325,0.625,0.64
0.34,0.725,0.125,0.35
0.61,0.225,0.525,0.51
0.53,0.925,0.625,0.64
0.7,0.425,0.625,0.62
0.41,0.525,0.625,0.5
0.52,0.125,0.425,0.41
0.75,0.225,0.925,0.7
0.66,0.325,0.225,0.46
0.66,0.925,0.325,0.61
0.8,0.225,0.725,0.66
0.74,0.725,0.625,0.7
0.74,0.925,0.725,0.77
0.49,0.125,0.325,0.37
0.41,0.425,0.725,0.51
0.73,0.925,0.225,0.62
0.52,0.325,0.525,0.48
0.75,0.725,0.425,0.65
0.33,0.725,0.425,0.44
0.4,0.825,0.325,0.46
0.78,0.825,0.225,0.62
0.49,0.125,0.125,0.31
0.52,0.625,0.325,0.48
0.33,0.325,0.425,0.36
0.66,0.725,0.125,0.51
0.62,0.625,0.425,0.56
0.49,0.925,0.225,0.5
0.59,0.225,0.825,0.59
0.58,0.625,0.825,0.66
0.52,0.425,0.725,0.56
0.31,0.125,0.325,0.28
0.35,0.325,0.425,0.37
0.79,0.725,0.525,0.7
0.72,0.925,0.425,0.67
0.67,0.325,0.125,0.44
0.57,0.525,0.625,0.58
0.67,0.425,0.825,0.67
0.43,0.925,0.425,0.53
0.34,0.525,0.625,0.46
0.61,0.225,0.325,0.45
0.64,0.225,0.725,0.58
0.62,0.825,0.125,0.51
0.37,0.325,0.125,0.29
0.53,0.225,0.425,0.44
0.78,0.825,0.725,0.77
0.41,0.425,0.825,0.54
0.6,0.225,0.525,0.5
0.66,0.725,0.525,0.63
0.56,0.225,0.525,0.48
0.67,0.125,0.425,0.49
0.64,0.525,0.625,0.61
0.66,0.925,0.625,0.7
0.7,0.225,0.625,0.58
0.31,0.725,0.225,0.37
0.79,0.225,0.125,0.48
0.36,0.425,0.525,0.42
0.33,0.725,0.825,0.56
0.76,0.525,0.625,0.67
0.43,0.425,0.525,0.46
0.41,0.325,0.725,0.49
0.75,0.225,0.225,0.49
0.41,0.625,0.125,0.37
0.39,0.425,0.425,0.41
0.72,0.425,0.425,0.57
0.66,0.825,0.425,0.62
0.37,0.525,0.325,0.39
0.42,0.725,0.325,0.45
0.41,0.825,0.825,0.62
0.56,0.125,0.725,0.52
0.31,0.125,0.425,0.31
0.72,0.225,0.325,0.5
0.47,0.325,0.325,0.4
0.72,0.125,0.725,0.6
0.43,0.725,0.125,0.4
0.44,0.425,0.625,0.49
0.67,0.925,0.425,0.65
0.57,0.625,0.825,0.66
0.36,0.425,0.725,0.48
0.41,0.925,0.825,0.64
0.41,0.525,0.625,0.5
0.5,0.225,0.725,0.51
0.35,0.725,0.125,0.36
0.69,0.425,0.925,0.71
0.77,0.525,0.925,0.77
0.79,0.925,0.125,0.62
0.77,0.525,0.325,0.59
0.46,0.325,0.225,0.36
0.63,0.125,0.925,0.62
0.56,0.725,0.825,0.67
0.79,0.725,0.125,0.58
0.72,0.225,0.725,0.62
0.47,0.625,0.925,0.64
0.4,0.625,0.725,0.54
0.38,0.325,0.625,0.44
0.39,0.525,0.525,0.46
0.38,0.525,0.225,0.36
0.68,0.725,0.625,0.67
0.6,0.225,0.225,0.41
0.58,0.625,0.325,0.51
0.44,0.225,0.525,0.42
0.68,0.325,0.625,0.59
0.63,0.625,0.625,0.63
0.65,0.125,0.925,0.63
0.38,0.225,0.625,0.42
0.54,0.625,0.825,0.64
0.41,0.725,0.225,0.42
0.5,0.325,0.225,0.38
0.53,0.525,0.525,0.53
0.63,0.825,0.425,0.61
0.46,0.425,0.725,0.53
0.55,0.425,0.825,0.61
0.71,0.925,0.125,0.58
0.72,0.625,0.525,0.64
0.64,0.725,0.925,0.74
0.33,0.125,0.625,0.38
0.3,0.925,0.325,0.43
0.46,0.525,0.425,0.46
0.32,0.125,0.625,0.37
0.52,0.525,0.325,0.46
0.61,0.525,0.525,0.57
0.59,0.225,0.425,0.47
0.77,0.625,0.125,0.55
0.71,0.925,0.525,0.7
0.44,0.925,0.425,0.53
0.42,0.725,0.825,0.6
0.32,0.625,0.725,0.5
0.48,0.825,0.225,0.47
0.34,0.525,0.625,0.46
0.57,0.725,0.225,0.5
0.47,0.925,0.625,0.61
0.77,0.725,0.425,0.66
0.36,0.925,0.325,0.46
0.54,0.825,0.825,0.68
0.49,0.925,0.125,0.47
0.42,0.725,0.625,0.54
0.31,0.225,0.525,0.36
0.63,0.525,0.425,0.55
0.74,0.825,0.725,0.75
0.33,0.125,0.325,0.29
0.53,0.525,0.225,0.44
0.72,0.425,0.425,0.57
0.43,0.525,0.925,0.6
0.76,0.225,0.425,0.55
0.61,0.425,0.325,0.49
0.78,0.425,0.825,0.72
0.62,0.725,0.325,0.55
0.56,0.525,0.325,0.48
0.78,0.725,0.425,0.66
0.75,0.425,0.825,0.71
0.49,0.125,0.825,0.52
0.64,0.725,0.925,0.74
0.68,0.825,0.325,0.6
0.74,0.825,0.125,0.57
0.38,0.925,0.125,0.41
0.71,0.325,0.225,0.49
0.52,0.925,0.225,0.51
0.62,0.425,0.225,0.46
0.33,0.125,0.525,0.35
0.67,0.925,0.225,0.59
0.63,0.825,0.525,0.64
0.57,0.125,0.725,0.53
0.47,0.525,0.925,0.62
0.73,0.725,0.225,0.58
0.44,0.725,0.525,0.52
0.62,0.225,0.425,0.48
0.61,0.625,0.525,0.59
0.65,0.625,0.625,0.64
0.67,0.125,0.125,0.4
0.58,0.625,0.125,0.45
0.35,0.425,0.525,0.42
0.61,0.825,0.925,0.75
0.65,0.225,0.225,0.44
0.59,0.125,0.525,0.48
0.34,0.825,0.625,0.52
0.61,0.925,0.425,0.62
0.3,0.125,0.425,0.3
0.68,0.725,0.925,0.76
0.5,0.725,0.225,0.46
0.73,0.125,0.225,0.46
0.67,0.925,0.125,0.56
0.67,0.425,0.425,0.55
0.52,0.125,0.225,0.35
0.6,0.425,0.425,0.51
0.51,0.825,0.425,0.55
0.65,0.125,0.925,0.63
0.43,0.225,0.725,0.48
0.78,0.825,0.825,0.8
0.49,0.425,0.125,0.37
0.72,0.225,0.425,0.53
0.47,0.425,0.225,0.39
0.62,0.325,0.625,0.56
0.31,0.725,0.525,0.46
0.35,0.825,0.625,0.53
0.73,0.325,0.625,0.62
0.63,0.825,0.725,0.7
0.4,0.825,0.125,0.4
0.72,0.325,0.925,0.7
0.44,0.625,0.725,0.56
0.57,0.925,0.825,0.72
0.33,0.125,0.725,0.41
0.71,0.225,0.125,0.44
0.62,0.125,0.925,0.61
0.79,0.525,0.925,0.78
0.68,0.125,0.725,0.58
0.73,0.825,0.225,0.6
0.75,0.125,0.825,0.65
0.4,0.125,0.425,0.35
0.79,0.925,0.325,0.68
0.53,0.725,0.825,0.66
0.75,0.525,0.825,0.73
0.4,0.125,0.825,0.47
0.38,0.425,0.325,0.37
0.44,0.825,0.225,0.45
0.43,0.625,0.725,0.56
0.54,0.125,0.125,0.33
0.68,0.525,0.825,0.69
0.48,0.125,0.925,0.54
0.66,0.725,0.825,0.72
0.58,0.625,0.725,0.63
0.52,0.625,0.125,0.42
0.77,0.625,0.925,0.79
0.5,0.725,0.525,0.55
0.69,0.625,0.525,0.63
0.63,0.525,0.325,0.52
0.45,0.825,0.925,0.67
0.41,0.225,0.925,0.53
0.62,0.625,0.625,0.62
0.62,0.125,0.625,0.52
0.71,0.925,0.425,0.67
0.44,0.825,0.425,0.51
0.43,0.325,0.825,0.53
0.37,0.925,0.425,0.5
0.51,0.825,0.325,0.52
0.61,0.125,0.725,0.55
0.38,0.825,0.225,0.42
0.56,0.825,0.625,0.63
0.7,0.725,0.725,0.71
0.52,0.925,0.825,0.69
0.49,0.125,0.325,0.37
0.62,0.625,0.825,0.68
0.5,0.925,0.125,0.47
0.38,0.325,0.125,0.29
0.69,0.725,0.225,0.56
0.45,0.725,0.125,0.41
0.54,0.625,0.425,0.52
0.8,0.525,0.225,0.57
0.77,0.225,0.725,0.65
0.61,0.925,0.625,0.68
0.6,0.525,0.825,0.65
0.31,0.225,0.625,0.39
